tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:75: size=32.6 KiB, count=7, average=4768 B
tracemalloc/.tmp:90: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:89: size=32.2 KiB, count=6, average=5496 B
tracemalloc/.tmp:94: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:93: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:92: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:91: size=32.2 KiB, count=6, average=5493 B
tracemalloc/.tmp:95: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:84: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:83: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:82: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:81: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:80: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:79: size=32.2 KiB, count=6, average=5490 B
tracemalloc/.tmp:88: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:87: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:86: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:85: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:78: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:77: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:76: size=32.2 KiB, count=6, average=5488 B
tracemalloc/.tmp:127: size=8672 B, count=118, average=73 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:120: size=584 B, count=1, average=584 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:133: size=528 B, count=1, average=528 B
tracemalloc/.tmp:119: size=464 B, count=1, average=464 B
tracemalloc/.tmp:119: size=456 B, count=1, average=456 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:39: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=96 B, count=4, average=24 B
tracemalloc/.tmp:155: size=24 B, count=1, average=24 B
tracemalloc/.tmp:21: size=800 B, count=1, average=800 B
tracemalloc/.tmp:168: size=696 B, count=2, average=348 B
tracemalloc/.tmp:179: size=536 B, count=1, average=536 B
tracemalloc/.tmp:180: size=448 B, count=1, average=448 B
tracemalloc/.tmp:174: size=440 B, count=1, average=440 B
tracemalloc/.tmp:159: size=224 B, count=1, average=224 B
tracemalloc/.tmp:162: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:99: size=136 B, count=1, average=136 B
tracemalloc/.tmp:62: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
