tracemalloc/.tmp:307: size=55.8 KiB, count=592, average=96 B
tracemalloc/.tmp:359: size=53.4 KiB, count=555, average=99 B
tracemalloc/.tmp:582: size=32.2 KiB, count=600, average=55 B
tracemalloc/.tmp:581: size=32.2 KiB, count=600, average=55 B
tracemalloc/.tmp:359: size=25.6 KiB, count=308, average=85 B
tracemalloc/.tmp:98: size=25.1 KiB, count=552, average=47 B
tracemalloc/.tmp:361: size=23.4 KiB, count=300, average=80 B
tracemalloc/.tmp:361: size=23.4 KiB, count=300, average=80 B
tracemalloc/.tmp:98: size=22.8 KiB, count=264, average=88 B
tracemalloc/.tmp:359: size=17.5 KiB, count=180, average=100 B
tracemalloc/.tmp:359: size=17.5 KiB, count=180, average=100 B
tracemalloc/.tmp:307: size=17.5 KiB, count=180, average=100 B
tracemalloc/.tmp:585: size=16.4 KiB, count=300, average=56 B
tracemalloc/.tmp:584: size=16.4 KiB, count=300, average=56 B
tracemalloc/.tmp:582: size=10.7 KiB, count=200, average=55 B
tracemalloc/.tmp:581: size=10.7 KiB, count=200, average=55 B
tracemalloc/.tmp:375: size=9600 B, count=300, average=32 B
tracemalloc/.tmp:375: size=9504 B, count=297, average=32 B
tracemalloc/.tmp:98: size=8320 B, count=180, average=46 B
tracemalloc/.tmp:333: size=8316 B, count=297, average=28 B
tracemalloc/.tmp:361: size=8080 B, count=101, average=80 B
tracemalloc/.tmp:361: size=8000 B, count=100, average=80 B
tracemalloc/.tmp:361: size=8000 B, count=100, average=80 B
tracemalloc/.tmp:585: size=6096 B, count=101, average=60 B
tracemalloc/.tmp:538: size=5656 B, count=101, average=56 B
tracemalloc/.tmp:584: size=5600 B, count=100, average=56 B
tracemalloc/.tmp:541: size=5600 B, count=100, average=56 B
tracemalloc/.tmp:537: size=5243 B, count=101, average=52 B
tracemalloc/.tmp:355: size=3724 B, count=10, average=372 B
tracemalloc/.tmp:375: size=3200 B, count=100, average=32 B
tracemalloc/.tmp:375: size=3200 B, count=100, average=32 B
tracemalloc/.tmp:375: size=3168 B, count=99, average=32 B
